mode,Final Selected Actions
simple_ph,"['graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'graphcodebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'codet5', 'codebert-java', 'codebert-java', 'codet5', 'codet5', 'codet5', 'codebert']"
simple_ph,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'codebert-java', 'xlnet', 'codet5', 'xlnet']"
simple_ph,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'graphcodebert', 'codet5']"
simple_ph,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'codet5', 'graphcodebert', 'xlnet', 'graphcodebert', 'graphcodebert', 'codet5', 'graphcodebert', 'xlnet', 'xlnet']"
simple_ph,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'xlnet', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'codebert-java', 'xlnet']"
simple_ph,"['xlnet', 'xlnet', 'codet5', 'codebert', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'codet5', 'graphcodebert', 'xlnet', 'graphcodebert', 'graphcodebert', 'codebert-java', 'codet5', 'xlnet']"
simple_ph,"['graphcodebert', 'xlnet', 'xlnet', 'codet5', 'codebert', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'codebert-java', 'xlnet', 'codebert-java', 'graphcodebert']"
simple_ph,"['codet5', 'xlnet', 'codebert-java', 'codebert', 'codebert', 'codet5', 'xlnet', 'graphcodebert', 'statistical', 'graphcodebert', 'graphcodebert', 'xlnet', 'graphcodebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'codebert-java', 'graphcodebert', 'xlnet']"
simple,"['graphcodebert', 'xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert-java', 'xlnet', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codebert-java', 'xlnet', 'graphcodebert', 'graphcodebert', 'codebert', 'codebert-java', 'graphcodebert', 'codet5']"
sph2,"['graphcodebert', 'codet5', 'graphcodebert', 'codet5', 'codebert-java', 'codebert', 'codet5', 'codet5', 'codebert', 'graphcodebert', 'codet5', 'xlnet', 'graphcodebert', 'statistical', 'codet5', 'codet5']"
sph2,"['graphcodebert', 'xlnet', 'graphcodebert', 'graphcodebert', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'codebert-java', 'graphcodebert']"
sph2,"['xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert-java', 'codebert-java', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codebert-java', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'xlnet', 'codebert']"
sph2,"['graphcodebert', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'graphcodebert', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'codebert-java', 'codet5', 'xlnet', 'graphcodebert', 'graphcodebert', 'codet5', 'codebert']"
sph2,"['graphcodebert', 'xlnet', 'graphcodebert', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'codet5', 'graphcodebert', 'xlnet']"
sph2,"['graphcodebert', 'xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codet5', 'codet5', 'codebert', 'graphcodebert', 'codebert-java', 'codet5', 'codet5', 'graphcodebert', 'graphcodebert', 'xlnet', 'graphcodebert', 'xlnet']"
sph2,"['xlnet', 'xlnet', 'graphcodebert', 'xlnet', 'codet5', 'codebert-java', 'graphcodebert', 'codebert', 'codebert', 'codet5', 'codebert', 'codebert', 'codet5', 'graphcodebert', 'codet5', 'graphcodebert', 'codebert']"
sph2,"['graphcodebert', 'graphcodebert', 'xlnet', 'codet5', 'xlnet', 'codebert', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'graphcodebert', 'codet5', 'graphcodebert', 'codebert']"
sph2,"['xlnet', 'graphcodebert', 'codet5', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codebert', 'codet5', 'graphcodebert', 'codet5', 'codet5', 'graphcodebert', 'graphcodebert', 'statistical', 'codet5', 'graphcodebert', 'codebert', 'graphcodebert', 'codebert']"
sph2,"['graphcodebert', 'xlnet', 'graphcodebert', 'xlnet', 'codet5', 'codebert-java', 'codebert', 'codet5', 'codet5', 'codebert', 'codebert', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert', 'codebert-java', 'graphcodebert', 'graphcodebert', 'graphcodebert']"
sph2,"['graphcodebert', 'codet5', 'xlnet', 'codebert-java', 'codebert', 'xlnet', 'codet5', 'codet5', 'codebert', 'codet5', 'xlnet', 'statistical', 'graphcodebert', 'codebert', 'codebert-java', 'graphcodebert', 'codet5', 'graphcodebert', 'graphcodebert']"
