mode,Final Selected Actions,Accuracy,AUC,TP,TN,FP,FN,Precision,Recall,F1,FP + FN
setting-40.txt,"2691, 2568, 2061, 895, 2201, 2458, 3485, 1441, 162, 1062, 2728, 2730, 301, 3631, 3121, 563, 1333, 1595, 2239, 1734, 973, 1485, 3026, 469, 3285, 859, 2530, 1381, 2278, 3175, 1383, 1514, 2541, 2542, 1518, 3191, 889, 2687",0.9087509349289454,0.8521817221341784,1180.0,35.0,82.0,40.0,0.63,0.7,0.66,122
setting-5.txt,"2018, 2468, 77, 2125, 2327",0.8593866866118175,0.8385103011093503,1106.0,43.0,156.0,32.0,0.59,0.72,0.62,188
setting-50.txt,"900, 262, 263, 784, 1680, 2450, 2964, 662, 3223, 1175, 3099, 927, 1184, 1441, 936, 937, 1064, 2730, 300, 1715, 1974, 1212, 2749, 1734, 583, 1100, 973, 845, 846, 3664, 850, 722, 859, 1629, 3424, 866, 230, 1514, 1386, 3562, 1005, 1134, 879, 2924, 2675, 3448, 2303",0.9094988780852655,0.8640147913365028,1180.0,36.0,82.0,39.0,0.64,0.71,0.66,121
simple,"0, 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 22, 25, 27, 28",0.9042632759910246,0.85864764923402,1178.0,31.0,84.0,44.0,0.62,0.67,0.64,128
simple,"0, 1, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 22, 26, 28, 29",0.8930441286462228,0.8762070787110406,1159.0,35.0,103.0,40.0,0.61,0.69,0.64,143
simple,"0, 1, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 26, 34",0.9177262528047868,0.8833597464342314,1189.0,38.0,73.0,37.0,0.66,0.72,0.68,110
simple,"0, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 26, 29, 40",0.9087509349289454,0.8866719492868462,1176.0,39.0,86.0,36.0,0.64,0.73,0.67,122
simple,"0, 1, 2, 4, 5, 8, 9, 10, 11, 13, 14, 15, 16, 19, 20, 21, 22, 24, 29, 32",0.9042632759910246,0.8602377179080825,1172.0,37.0,90.0,38.0,0.63,0.71,0.66,128
simple,"0, 1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 20, 21, 34, 35",0.8990276738967838,0.8679133650290544,1168.0,34.0,94.0,41.0,0.62,0.69,0.64,135
simple,"0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 14, 15, 16, 18, 19, 20, 23, 28, 29, 39",0.906507105459985,0.865662968832541,1174.0,38.0,88.0,37.0,0.64,0.72,0.66,125
